"","NLA_ID","lMeanDepth","lShorelineDevelopment","lMinorAxisLength","lFetch","MaxDepth"
"1","NLA06608-0001",3.1562816747767,1.13268141023258,3591.36070352757,1816.8537090612,8.3
"2","NLA06608-0002",0.618713930020451,1.47896501513561,2289.1411474109,1963.70985973989,1.75
"3","NLA06608-0003",0.928517223304156,1.52099408010087,4183.1673535565,2482.13326628381,2.45
"4","NLA06608-0004",1.95461255935081,1.21758402999687,3244.35914398772,1995.62548517627,5.55
"5","NLA06608-0005",2.37374013724407,1.47582511528697,19575.282813501,12676.4008073534,6.63333333333333
"6","NLA06608-0006",8.30127498209809,1.41402830256563,7657.47098971931,4986.68994004383,23.975
"7","NLA06608-0007",6.81618244633251,1.70814866921801,4551.22979380968,3584.81061046889,19.1
"8","NLA06608-0008",2.13678257862716,1.26072654737208,5681.45110490682,3222.39812449431,5.5
"9","NLA06608-0010",4.59330868434342,1.32459816199031,2630.62485403926,1967.94540380748,11
"10","NLA06608-0012",1.28539032995869,1.51548425530923,17873.9537581866,9650.43487939292,3.14666666666667
"11","NLA06608-0013",0.897408113491028,1.91439027529919,26887.1496516846,17774.5135787454,2.5
"12","NLA06608-0014",0.666359384879964,1.74188328739485,3314.6423001786,2006.48578582864,1.7
"13","NLA06608-0015",2.17344091716405,3.0896108409423,133609.644478593,244703.16473742,6.26666666666667
"14","NLA06608-0016",2.35284020349507,1.50207193128678,11139.2217496967,8379.22730129479,6.35
"15","NLA06608-0019",0.367058938438724,2.05758225015021,20935.2045425964,11294.0966081013,1.175
"16","NLA06608-0020",5.13716525315929,1.41352942503334,11108.0967068021,6229.53698640809,14.575
"17","NLA06608-0021",16.7745842436063,1.6633320339341,26097.0280615957,14363.0310184701,49.65
"18","NLA06608-0023",0.905405921043378,1.26733274321274,1437.00209101463,825.652317067167,2.6
"19","NLA06608-0024",3.26926788967932,1.8154224854344,26254.2569199722,63044.3114682291,10
"20","NLA06608-0025",2.29192337091978,1.3064745858013,5012.08680878497,3384.14211872487,6.8
"21","NLA06608-0029",0.350604096168376,1.61844404346046,7751.50439359465,5425.51113498732,1.1
"22","NLA06608-0031",2.1361790590719,1.2390059797187,5970.77946079103,4848.7609652245,5.76666666666667
"23","NLA06608-0033",0.523571222929204,1.35696156935761,4047.34750678427,2032.72699412295,1.5
"24","NLA06608-0036",2.19206736012934,1.35291151205444,1923.9395542313,1578.65522925909,4.875
"25","NLA06608-0037",4.45582782725557,1.37002466759835,10302.1295721444,6282.84196169919,12.5333333333333
"26","NLA06608-0038",5.0514335212616,1.52728654460124,8633.47956669893,4295.69725395657,12.8333333333333
"27","NLA06608-0041",13.2201189775756,1.77212501021424,74706.2294242734,65430.9913692222,36.3333333333333
"28","NLA06608-0042",4.95557915595037,1.30504994412829,13702.4600807284,10341.7970679252,13.7
"29","NLA06608-0043",6.36892321572877,1.8096096176947,16282.8045741832,18068.4641003332,16.35
"30","NLA06608-0044",0.580009887894193,2.18136383791673,14981.6688272114,38162.9200633307,1.6
"31","NLA06608-0045",0.781580666101839,1.46590388581423,17861.6410416937,9989.15960403975,2.03
"32","NLA06608-0048",0.954115191341491,1.67617537933933,997.862122539897,553.614979237818,3.06666666666667
"33","NLA06608-0049",1.25711278062067,1.18661902440743,3727.60232060887,2255.90030922637,3.7
"34","NLA06608-0050",1.99942877245904,1.30700886935254,1315.83357725031,797.615092823773,4.96666666666667
"35","NLA06608-0053",1.65055698272502,2.08554242390657,98507.4008549627,57333.7937682132,5.6
"36","NLA06608-0057",1.1205666073389,1.47918588485433,34533.1150043513,15708.2429978729,3.03333333333333
"37","NLA06608-0061",5.12721947995995,1.79231235152853,170821.789559622,112449.373838545,15.1666666666667
"38","NLA06608-0062",0.953181638701322,1.41285211870824,5730.62767132982,3565.95471042218,2.76666666666667
"39","NLA06608-0064",0.904303006373921,1.32319649388223,5828.10692158382,4729.36146931723,2.475
"40","NLA06608-0065",6.86339289376321,1.6040054205543,8328.24545833969,5988.34196914483,16.96
"41","NLA06608-0066",6.75322017032792,1.71488484729539,51065.485397676,27488.9606220259,18.5
"42","NLA06608-0068",6.50143012651799,1.27252218212997,9968.40961270394,7158.11458631003,17.475
"43","NLA06608-0069",1.22119196186391,1.54567487946697,3224.15842852128,1841.05381795607,3.25
"44","NLA06608-0071",1.59221660372269,1.72170865088232,11503.6572212155,7004.11437236421,4.52
"45","NLA06608-0072",2.02620166888678,1.26785013388071,4685.12191470053,2981.23513640076,5.65
"46","NLA06608-0073",10.5745343907574,1.1027807444068,2513.42962047661,1716.69451054512,27.5
"47","NLA06608-0076",4.15306248640346,1.89293019141698,31944.4009089523,20643.9888183163,10.825
"48","NLA06608-0077",0.845497372382976,1.36422339040514,3595.03523837437,2552.72898745014,2.325
"49","NLA06608-0078",0.342926378815501,2.39387451348751,872.224356594914,750.40513503576,1.06666666666667
"50","NLA06608-0079",18.7183679814649,1.49443518257306,14741.4762009292,8236.76452055883,48.35
"51","NLA06608-0080",1.38233587854759,1.47528932523559,5934.69021661232,4135.59557039478,3.2
"52","NLA06608-0081",2.78422511465406,1.15611982012869,2180.75977592205,1352.25388709833,8.16666666666667
"53","NLA06608-0083",0.676208267274842,1.70175471635538,5735.33443494984,7442.41619251772,1.85
"54","NLA06608-0085",0.948547041040924,1.64745648846333,16168.749457374,16860.0521429384,2.5475
